t	P	cov	tau2_dicker1	tau2_dicker2	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	var.prs.geno	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
0	0	neg	0.910542841	0.373759261	0.034063671	0.032903337	-0.015848721	0.929264401	0.007927055	0.007927055	0.929269789	0.932892833	1.158787364	0.2891494	0.335062671	0.7906465	0.929264401	0.334550058038452	0.793949648517777
0	0	pos	6.764971341	2.776928477	0.034063671	0.032903337	0.133142434	0.929264401	0.007927055	0.007927055	1.078260945	1.077627938	1.345188539	1.974716	2.656365331	0.7906465	0.929264401	2.66675567087872	0.793077406394292
0	0.3	neg	0.910542841	0.373759261	0.034063671	0.032903337	-0.015848721	0.929264401	0.007927055	0.007927055	0.929269789	0.932892833	1.158787364	0.2891494	0.335062671	0.790646526	0.929264401	0.334550058038451	0.793949648517779
0	0.3	pos	6.764971341	2.776928477	0.034063671	0.032903337	0.133142434	0.929264401	0.007927055	0.007927055	1.078260945	1.077627938	1.345188539	1.974716	2.656365331	0.790646526	0.929264401	2.66675567087872	0.793077406394292
0	0.6	neg	0.910542841	0.373759261	0.034063671	0.032903337	-0.015848721	0.929264401	0.007927055	0.007927055	0.929269789	0.932892833	1.158787364	0.2891494	0.335062671	0.790646526	0.929264401	0.334550058038456	0.793949648517781
0	0.6	pos	6.764971341	2.776928477	0.034063671	0.032903337	0.133142434	0.929264401	0.007927055	0.007927055	1.078260945	1.077627938	1.345188539	1.974716	2.656365331	0.790646526	0.929264401	2.66675567087872	0.793077406394288
0	0.9	neg	0.910542841	0.373759261	0.034063671	0.032903337	-0.015848721	0.929264401	0.007927055	0.007927055	0.929269789	0.932892833	1.158787364	0.2891494	0.335062671	0.790646526	0.929264401	0.334550058038452	0.793949648517778
0	0.9	pos	6.764971341	2.776928477	0.034063671	0.032903337	0.133142434	0.929264401	0.007927055	0.007927055	1.078260945	1.077627938	1.345188539	1.974716	2.656365331	0.790646526	0.929264401	2.66675567087872	0.793077406394286
1	0	neg	0.912777828	0.283702501	0.066967008	0.046591164	-0.022441808	0.929935674	0.015053234	0.011224719	0.933771818	0.934666104	1.169102178	0.2130455	0.249071958	0.5671527	0.933764189	0.249074857357604	0.623255907771654
1	0	pos	11.04788183	3.439827939	0.066967008	0.046591164	0.188529841	0.929935674	0.015053234	0.011224719	1.144743467	1.147344502	1.436904022	2.26997	3.261729024	0.5673374	0.933764189	3.25528449511254	0.62204217906758
1	0.3	neg	0.903656934	0.24598325	0.066967008	0.051358543	-0.024738136	0.929935674	0.015053234	0.012373273	0.932624044	0.936322153	1.1704869	0.1823641	0.21345479	0.565807754	0.932615635	0.212088464051411	0.594252404905823
1	0.3	pos	13.15907824	3.626739647	0.066967008	0.051358543	0.207820908	0.929935674	0.015053234	0.012373273	1.165183089	1.163500503	1.450054959	2.339822	3.392870494	0.564671358	0.932615635	3.399452909225	0.596703764873412
1	0.6	neg	0.89918201	0.219567662	0.066967008	0.056125922	-0.027034465	0.929935674	0.015053234	0.013521828	0.93147627	0.936220011	1.165842349	0.1607611	0.187422098	0.459579289	0.93146708	0.18629824431718	0.57677103778975
1	0.6	pos	15.93137286	3.858032804	0.066967008	0.056125922	0.227111975	0.929935674	0.015053234	0.013521828	1.18562271	1.18946024	1.485739702	2.40058	3.566637014	0.452275498	0.93146708	3.58115832219618	0.574329688732182
1	0.9	neg	0.906374597	0.196939964	0.066967008	0.060893302	-0.029330793	0.929935674	0.015053234	0.014670382	0.930328497	0.930582367	1.161270475	0.1421569	0.165082611	0.407332601	0.930318526	0.16441313707234	0.55568494133358
1	0.9	pos	18.21767022	3.958653623	0.066967008	0.060893302	0.246403043	0.929935674	0.015053234	0.014670382	1.206062332	1.208880697	1.507954156	2.405554	3.627465153	0.403201854	0.930318526	3.63994115372385	0.552076830732781
2	0	neg	0.913421653	0.278884413	0.098749537	0.051146068	-0.024635792	0.93058408	0.021441367	0.012322084	0.939711739	0.946108327	1.183625546	0.2109172	0.249646986	0.6267943	0.939703363	0.247471600973028	0.518067157611767
2	0	pos	12.46259122	3.804611613	0.098749537	0.051146068	0.206961133	0.93058408	0.021441367	0.012322084	1.171308664	1.171193662	1.462323833	2.468727	3.610078328	0.6265264	0.939703363	3.61116575290549	0.50736327706153
2	0.3	neg	0.919123667	0.22037162	0.098749537	0.060889923	-0.029329165	0.93058408	0.021441367	0.014669568	0.93736585	0.938878682	1.166955842	0.160869	0.187727019	0.565515824	0.937355879	0.189735452795097	0.465312896509406
2	0.3	pos	16.54307943	4.014013878	0.098749537	0.060889923	0.246389369	0.93058408	0.021441367	0.014669568	1.213084384	1.217505107	1.518361035	2.479031	3.764064075	0.56502133	0.937355879	3.74730273248904	0.462325353984614
2	0.6	neg	0.894710162	0.170779514	0.098749537	0.072015273	-0.03468797	0.93058408	0.021441367	0.017349881	0.934687358	0.939451887	1.171965318	0.1224996	0.143565283	0.414981948	0.934675566	0.142451545482001	0.415081491017219
2	0.6	pos	23.03453623	4.356936042	0.098749537	0.072015273	0.291407788	0.93058408	0.021441367	0.017349881	1.260783117	1.259799869	1.567452299	2.532039	3.968850352	0.424040389	0.934675566	3.99311275263159	0.410839061485592
2	0.9	neg	0.898960407	0.1362876	0.098749537	0.084522119	-0.040712208	0.93058408	0.021441367	0.020363024	0.931676264	0.934628892	1.167830581	0.09418426	0.109991259	0.311764548	0.931662423	0.109813490040671	0.378052196183427
2	0.9	pos	31.12003675	4.629949745	0.098749537	0.084522119	0.342016389	0.93058408	0.021441367	0.020363024	1.314404861	1.314540217	1.642570131	2.528675	4.153526027	0.315792459	0.931662423	4.15723851420082	0.363416106850656
3	0	neg	0.937949363	0.305741366	0.129449437	0.051427737	-0.024771465	0.9312104	0.027149765	0.012389943	0.945978642	0.95112414	1.188831879	0.2314812	0.27519223	0.629637	0.945970222	0.27553538284202	0.474838355641166
3	0	pos	12.48556548	4.058886928	0.129449437	0.051427737	0.2081009	0.9312104	0.027149765	0.012389943	1.178851007	1.178042367	1.474407383	2.605119	3.841006686	0.6291857	0.945970222	3.87793011664255	0.464363148327378
3	0.3	neg	0.907494197	0.216086922	0.129449437	0.064956077	-0.031287731	0.9312104	0.027149765	0.015649184	0.942721617	0.947031596	1.183636413	0.1595031	0.188793677	0.546752	0.942710981	0.187632951403169	0.389437665080709
3	0.3	pos	18.31533441	4.417282914	0.129449437	0.064956077	0.262842949	0.9312104	0.027149765	0.015649184	1.236852297	1.246233092	1.559322406	2.662277	4.151348177	0.550574465	0.942710981	4.13740519699916	0.39330168730263
3	0.6	neg	0.908106584	0.154658471	0.129449437	0.082375549	-0.039678259	0.9312104	0.027149765	0.019845874	0.93852778	0.935517876	1.171676082	0.1092209	0.127971516	0.397395223	0.938514291	0.128714013048999	0.324251684291413
3	0.6	pos	27.71165753	4.692832985	0.129449437	0.082375549	0.333330356	0.9312104	0.027149765	0.019845874	1.311536394	1.311470802	1.63979037	2.617495	4.292143096	0.396728628	0.938514291	4.28397093699259	0.317546238350049
3	0.9	neg	0.871421863	0.105139344	0.129449437	0.10428665	-0.050232292	0.9312104	0.027149765	0.025124685	0.933252557	0.93688339	1.166344643	0.07187898	0.083835663	0.253179958	0.93323548	0.0830746368608109	0.263898107508812
3	0.9	pos	43.64296771	5.089621917	0.129449437	0.10428665	0.421993014	0.9312104	0.027149765	0.025124685	1.405477863	1.402691415	1.747091158	2.547219	4.450223792	0.255499073	0.93323548	4.50698913716622	0.254701986922398
4	0	neg	0.928149731	0.335180407	0.159103585	0.049774027	-0.023974914	0.931815384	0.032232528	0.011991532	0.952064531	0.949564677	1.186720307	0.2580431	0.306224987	0.6985647	0.95205638	0.306686961518231	0.453674401274906
4	0	pos	10.76007403	3.861080608	0.159103585	0.049774027	0.201409206	0.931815384	0.032232528	0.011991532	1.177448651	1.181272765	1.472376471	2.532357	3.728582863	0.698512	0.95205638	3.71389911340659	0.446996392916328
4	0.3	neg	0.926885963	0.231952476	0.159103585	0.065719299	-0.031655356	0.931815384	0.032232528	0.015833059	0.948225615	0.953445253	1.192556624	0.1716656	0.204720948	0.572477696	0.948214853	0.204205473618565	0.360165141648231
4	0.3	pos	17.45185977	4.440473953	0.159103585	0.065719299	0.265931306	0.931815384	0.032232528	0.015833059	1.245812278	1.243197455	1.560277957	2.6911	4.19886401	0.573332212	0.948214853	4.1832992660795	0.361391846813982
4	0.6	neg	0.91704417	0.151302371	0.159103585	0.088591695	-0.042672422	0.931815384	0.032232528	0.021343464	0.942718955	0.938786322	1.171171739	0.1069836	0.125296169	0.396784262	0.942704448	0.126586228684079	0.273928773316134
4	0.6	pos	30.26253155	4.893615564	0.159103585	0.088591695	0.358483817	0.931815384	0.032232528	0.021343464	1.343875194	1.335802754	1.67049588	2.663972	4.45015425	0.403690093	0.942704448	4.46707550769443	0.268075051715344
4	0.9	neg	0.872916031	0.089183748	0.159103585	0.120633618	-0.058106221	0.931815384	0.032232528	0.029062987	0.935004679	0.93701779	1.172064911	0.05958395	0.069836257	0.231798998	0.934984925	0.0695181506414187	0.198627807784802
4	0.9	pos	54.18771424	5.404364449	0.159103585	0.120633618	0.488140561	0.931815384	0.032232528	0.029062987	1.48125146	1.469971942	1.844367059	2.555582	4.713431257	0.22552445	0.934984925	4.7452621582481	0.193222127775474
5	0	neg	0.928791814	0.372163519	0.187747604	0.047305443	-0.022785858	0.932399761	0.036739844	0.011396802	0.957750549	0.958974886	1.201168978	0.2891496	0.34731753	0.7192588	0.957742803	0.345219060786579	0.456759714594565
5	0	pos	9.697790376	3.86432249	0.187747604	0.047305443	0.191420153	0.932399761	0.036739844	0.011396802	1.17195656	1.167048663	1.464294939	2.526818	3.700006809	0.7198479	0.957742803	3.74131188777864	0.468132933405362
5	0.3	neg	0.920306448	0.248196483	0.187747604	0.064528601	-0.031081826	0.932399761	0.036739844	0.015546196	0.953603975	0.956014942	1.19583477	0.1866178	0.223164054	0.594419378	0.953593409	0.221391266920667	0.344145756371293
5	0.3	pos	16.71783681	4.565189899	0.187747604	0.064528601	0.26111318	0.932399761	0.036739844	0.015546196	1.245798981	1.246867138	1.564131325	2.768238	4.32988777	0.598271386	0.953593409	4.32627155293742	0.34947717807175
5	0.6	neg	0.926235594	0.152404073	0.187747604	0.091725323	-0.044181812	0.932399761	0.036739844	0.022098416	0.947056209	0.950554865	1.186875841	0.1074229	0.127497645	0.400693965	0.947041189	0.128236165247151	0.246373675220158
5	0.6	pos	31.55110728	5.143706677	0.187747604	0.091725323	0.371163952	0.932399761	0.036739844	0.022098416	1.362401974	1.355042767	1.69631098	2.785932	4.725807041	0.385468258	0.947041189	4.71159491986509	0.234872952502539
5	0.9	neg	0.885342847	0.080969412	0.187747604	0.133964347	-0.064527303	0.932399761	0.036739844	0.03227462	0.936886922	0.940379052	1.175796851	0.05359657	0.063018678	0.202526843	0.936864985	0.0626952540528308	0.159058315261391
5	0.9	pos	63.40634433	5.654050479	0.187747604	0.133964347	0.542082984	0.932399761	0.036739844	0.03227462	1.543497209	1.543000666	1.921698056	2.558914	4.917460058	0.194965759	0.936864985	4.93635543219912	0.153470705782906
6	0	neg	0.924795423	0.407872795	0.215415902	0.04455513	-0.021461101	0.932964232	0.040718256	0.010734198	0.962955585	0.965391363	1.202156185	0.3211843	0.386113693	0.7531126	0.96294829	0.382255208338314	0.46869172163573
6	0	pos	8.43176071	3.71290568	0.215415902	0.04455513	0.180291088	0.932964232	0.040718256	0.010734198	1.164707774	1.159440982	1.450368542	2.477993	3.594003095	0.752608	0.96294829	3.61499367798962	0.477138329205342
6	0.3	neg	0.943319101	0.280537176	0.215415902	0.062222945	-0.029971249	0.932964232	0.040718256	0.014990719	0.958701957	0.963524407	1.200968075	0.2103994	0.252682962	0.585010833	0.958691769	0.253597245646054	0.352121995399235
6	0.3	pos	15.14761466	4.514639707	0.215415902	0.062222945	0.251783407	0.932964232	0.040718256	0.014990719	1.240456613	1.230134587	1.534325668	2.774098	4.256369766	0.579804577	0.958691769	4.30660490568602	0.353567377010955
