t	P	cov	tau2_dicker1	tau2_dicker2	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	var.prs.geno	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
0	0	neg	0.861236909	0.036054942	0.5	0.25	-0.120418798	0.938770132	0.060229868	0.060229868	0.93881107	0.943284156	1.177903337	0.02146585	0.025284696	0.036363284	0.938770132	0.0253035885025372	0.0368845143927932
0	0	pos	174.2114168	7.293166498	0.5	0.25	1.011618008	0.938770132	0.060229868	0.060229868	2.070847876	2.071714597	2.588355296	2.322154	6.010559603	0.036363284	0.938770132	6.01071010856287	0.0361399449821537
0	0.3	neg	0.861236909	0.036054942	0.5	0.25	-0.120418798	0.938770132	0.060229868	0.060229868	0.93881107	0.943284156	1.177903337	0.02146585	0.025284696	0.036363284	0.938770132	0.0253035885025379	0.0368845143927924
0	0.3	pos	174.2114168	7.293166498	0.5	0.25	1.011618008	0.938770132	0.060229868	0.060229868	2.070847876	2.071714597	2.588355296	2.322154	6.010559603	0.036363284	0.938770132	6.01071010856287	0.036139944982153
0	0.6	neg	0.861236909	0.036054942	0.5	0.25	-0.120418798	0.938770132	0.060229868	0.060229868	0.93881107	0.943284156	1.177903337	0.02146585	0.025284696	0.036363284	0.938770132	0.025303588502538	0.0368845143927933
0	0.6	pos	174.2114168	7.293166498	0.5	0.25	1.011618008	0.938770132	0.060229868	0.060229868	2.070847876	2.071714597	2.588355296	2.322154	6.010559603	0.036363284	0.938770132	6.01071010856287	0.036139944982153
0	0.9	neg	0.861236909	0.036054942	0.5	0.25	-0.120418798	0.938770132	0.060229868	0.060229868	0.93881107	0.943284156	1.177903337	0.02146585	0.025284696	0.036363284	0.938770132	0.025303588502538	0.0368845143927933
0	0.9	pos	174.2114168	7.293166498	0.5	0.25	1.011618008	0.938770132	0.060229868	0.060229868	2.070847876	2.071714597	2.588355296	2.322154	6.010559603	0.036363284	0.938770132	6.01071010856287	0.036139944982156
1	0	neg	0.915987574	0.118018646	0.5	0.125	-0.060209399	0.938770132	0.060229868	0.030114934	0.968905535	0.965614262	1.206445245	0.08191402	0.09882478	0.694580564	0.968885066	0.098926399433698	0.118389699141017
1	0	pos	50.00994907	6.278286819	0.5	0.125	0.505809004	0.938770132	0.060229868	0.030114934	1.534923938	1.535288756	1.915245028	2.975094	5.698033991	0.694522752	0.968885066	5.69864855165001	0.113390398266019
1	0.3	neg	0.904722073	0.075798974	0.5	0.1625	-0.078272219	0.938770132	0.060229868	0.039149414	0.959877195	0.959912198	1.201971111	0.04988363	0.059958682	0.440867836	0.959850586	0.0600005802743992	0.0764212993449677
1	0.3	pos	77.82560709	6.583323765	0.5	0.1625	0.657551705	0.938770132	0.060229868	0.039149414	1.695701119	1.685277555	2.111175485	2.746288	5.7978959	0.440215764	0.959850586	5.79874109528537	0.0768898174005126
1	0.6	neg	0.884284063	0.052714227	0.5	0.2	-0.096335039	0.938770132	0.060229868	0.048183894	0.950848856	0.949632004	1.183330465	0.03344821	0.039580286	0.180480981	0.950816106	0.0396019153548867	0.0529799597746014
1	0.6	pos	114.9813307	6.937674497	0.5	0.2	0.809294406	0.938770132	0.060229868	0.048183894	1.856478301	1.850177633	2.315216094	2.562846	5.933542305	0.181237421	0.950816106	5.93393038383395	0.0538747205083824
1	0.9	neg	0.865746859	0.039330345	0.5	0.2375	-0.114397858	0.938770132	0.060229868	0.057218374	0.941820516	0.938519506	1.176678655	0.02388141	0.028100745	0.044893767	0.941781626	0.0281212270451358	0.0398524509725962
1	0.9	pos	160.2385158	7.247956638	0.5	0.2375	0.961037108	0.938770132	0.060229868	0.057218374	2.017255482	2.025887191	2.529909227	2.38082	6.023258485	0.044693619	0.941781626	6.02387758323141	0.0393832347203567
2	0	neg	0.960216642	0.337661969	0.5	0.0625	-0.0301047	0.938770132	0.060229868	0.015057467	0.983952767	0.985573172	1.229737113	0.2541445	0.312530924	0.784461496	0.983942533	0.312706854425899	0.335762629446268
2	0	pos	14.01588252	4.765634119	0.5	0.0625	0.252904502	0.938770132	0.060229868	0.015057467	1.266961969	1.266930854	1.580574178	2.900607	4.584624525	0.784595548	0.983942533	4.58478755791745	0.320063166500866
2	0.3	neg	0.933856899	0.155842808	0.5	0.105625	-0.050876942	0.938770132	0.060229868	0.025447119	0.973570177	0.970858454	1.215261887	0.1106433	0.134460585	0.501684901	0.973552881	0.134570197888279	0.155748181609543
2	0.3	pos	34.25240627	5.76669801	0.5	0.105625	0.427408608	0.938770132	0.060229868	0.025447119	1.451855728	1.424342227	1.770485045	3.014247	5.336679236	0.497239337	0.973552881	5.33650703879404	0.152493966020177
2	0.6	neg	0.898815708	0.07637942	0.5	0.16	-0.077068031	0.938770132	0.060229868	0.038547115	0.960479085	0.959102488	1.200100841	0.05040466	0.060490675	0.208036073	0.960452885	0.0605383119022915	0.0773113420402542
2	0.6	pos	77.19479601	6.655016027	0.5	0.16	0.647435525	0.938770132	0.060229868	0.038547115	1.684982641	1.672502465	2.100050932	2.79562	5.870944387	0.201913304	0.960452885	5.87228320697458	0.0770240230621082
2	0.9	neg	0.886354563	0.043529499	0.5	0.225625	-0.108677965	0.938770132	0.060229868	0.054357456	0.94467949	0.940860199	1.177285552	0.02692279	0.031695812	0.049128955	0.944642544	0.0317130964595955	0.0429887852255493
2	0.9	pos	146.4812801	7.144230891	0.5	0.225625	0.912985252	0.938770132	0.060229868	0.054357456	1.966342708	1.972953334	2.463835308	2.428697	5.983909421	0.048621004	0.944642544	5.98424937659976	0.0425379835811502
3	0	neg	0.986127754	0.660997949	0.5	0.03125	-0.01505235	0.938770132	0.060229868	0.007528733	0.991476384	0.991886509	1.242829025	0.5166536	0.64211209	0.897816737	0.991471267	0.642632755594051	0.652348892333012
3	0	pos	4.471026447	2.952647135	0.5	0.03125	0.126452251	0.938770132	0.060229868	0.007528733	1.132980984	1.135856019	1.423324939	2.049282	2.916794177	0.897742715	0.991471267	2.91822586193292	0.642779234221126
3	0.3	neg	0.948055873	0.292744228	0.5	0.06865625	-0.033070012	0.938770132	0.060229868	0.016540627	0.982470615	0.980404902	1.227653891	0.2182689	0.267958664	0.569318396	0.982459373	0.268124999967055	0.292323580105422
3	0.3	pos	15.78693297	4.883864207	0.5	0.06865625	0.277815595	0.938770132	0.060229868	0.016540627	1.293356223	1.287118774	1.603260764	2.916766	4.676336487	0.565922591	0.982459373	4.6764858059035	0.291094006815403
3	0.6	neg	0.920878817	0.111538224	0.5	0.128	-0.061654425	0.938770132	0.060229868	0.030837692	0.968183268	0.974405758	1.214794502	0.07618823	0.092553043	0.232956436	0.968162308	0.0926175138062613	0.113019277511326
3	0.6	pos	50.08578147	6.182516264	0.5	0.128	0.51794842	0.938770132	0.060229868	0.030837692	1.547786112	1.534182064	1.921638058	2.915699	5.602918165	0.230561883	0.968162308	5.60374721136768	0.113304803809969
3	0.9	neg	0.872051867	0.046844214	0.5	0.21434375	-0.103244067	0.938770132	0.060229868	0.051639583	0.947395516	0.941686553	1.175735802	0.02936154	0.034521414	0.053790806	0.947360417	0.0345326576767087	0.0472172172148336
3	0.9	pos	133.0580674	7.058246051	0.5	0.21434375	0.86733599	0.938770132	0.060229868	0.051639583	1.917975573	1.919593123	2.390485761	2.494369	5.962753578	0.054504254	0.947360417	5.96350010320182	0.0461319526301385
4	0	neg	0.986143652	0.876358972	0.5	0.015625	-0.007526175	0.938770132	0.060229868	0.003764367	0.995238192	0.993488345	1.24438602	0.6966817	0.866940968	0.96835927	0.995235633	0.867495418391242	0.869999372659024
4	0	pos	1.976220594	1.74689374	0.5	0.015625	0.063226125	0.938770132	0.060229868	0.003764367	1.065990492	1.074733736	1.344924266	1.291031	1.73633892	0.968464772	0.995235633	1.7375023970962	0.877660381645417
4	0.3	neg	0.971114667	0.488542095	0.5	0.044626563	-0.021495508	0.938770132	0.060229868	0.010751408	0.9882559	0.989343922	1.239916555	0.3754242	0.465494681	0.677045119	0.988248592	0.465734303274549	0.484463693167477
4	0.3	pos	7.494196238	3.765452243	0.5	0.044626563	0.180580137	0.938770132	0.060229868	0.010751408	1.190331545	1.179187421	1.477736819	2.493531	3.684782567	0.679566531	0.988248592	3.6864370366623	0.478851624282254
4	0.6	neg	0.934624532	0.161321533	0.5	0.1024	-0.04932354	0.938770132	0.060229868	0.024670154	0.974346614	0.975793848	1.212667572	0.1151794	0.139674323	0.274993504	0.974329846	0.139741855607863	0.160342628514996
