t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
0	0	neg	0.33498175	0.3297085	0.34136056	0.79383851	0.78005644	0.80527302	0.929269789	0.929264401	0.007927055	0.007927055	-0.015848721	0.83093873	0.8166613	0.84375639	0.37478884	0.36886206	0.38075129	0.37514416	0.36794167	0.38187819	0.9248472	0.9140976	0.9378096	0.9248076	0.9142413	0.934132
0	0	pos	2.66713975	2.64447323	2.69864606	0.79303062	0.77776719	0.81274684	1.078260945	0.929264401	0.007927055	0.007927055	0.133142434	0.82921357	0.81000801	0.85339994	2.79621966	2.76923159	2.82682546	2.7780129	2.7388534	2.81064659	0.9242347	0.912083	0.937509	1.0797111	1.0680275	1.0891489
0	0	zero	0.6124688	0.59040031	0.64177744	0.7906397	0.77367959	0.81457169	0.945289149492924	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.82775615	0.8104216	0.84848806	0.66186092	0.63650604	0.68417848	0.64614403	0.62427616	0.67379808	0.9228062	0.9125241	0.9354496	0.9488296	0.9371745	0.9686627
0	0.9	neg	0.33421951	0.32617056	0.34049149	0.79432505	0.78046096	0.8093939	0.929269789	0.929264401	0.007927055	0.007927055	-0.015848721	0.83109172	0.81555405	0.84792837	0.37455268	0.36948556	0.38161618	0.37483894	0.36773881	0.38172197	0.9254929	0.9162295	0.9360651	0.9243401	0.9142623	0.9346478
0	0.9	pos	2.66539601	2.63809693	2.68974555	0.79448866	0.77115849	0.81298823	1.078260945	0.929264401	0.007927055	0.007927055	0.133142434	0.82949446	0.80699134	0.85011104	2.79539318	2.76616425	2.82410053	2.77767178	2.74520344	2.80595125	0.9235756	0.9097041	0.9375948	1.082123	1.0653079	1.0956982
0	0.9	zero	0.61218547	0.58895538	0.63554113	0.79204137	0.77563115	0.80951376	0.945289149492924	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.82545097	0.80991139	0.8458372	0.66120545	0.64089401	0.69191869	0.6486056	0.62650879	0.6750556	0.9242988	0.9144629	0.9353679	0.9478808	0.9360816	0.9624303
1	0	neg	0.24909866	0.24610647	0.2519344	0.62308711	0.61710343	0.6306033	0.933771818	0.929935674	0.015053234	0.011224719	-0.022441808	0.67365755	0.66647105	0.68023088	0.28410899	0.28115778	0.28724976	0.28411101	0.28032261	0.28752993	0.9360693	0.9272586	0.9429803	0.9356119	0.9291056	0.9417332
1	0	pos	3.25521057	3.17418465	3.32809498	0.62115694	0.61142094	0.62873717	1.144743467	0.929935674	0.015053234	0.011224719	0.188529841	0.67079113	0.66175471	0.68108169	3.45075205	3.38216465	3.52936384	3.44459337	3.35039459	3.52030272	0.9323927	0.9228751	0.9447326	1.1551872	1.144674	1.1687844
1	0	zero	0.57847104	0.53944932	0.62523579	0.61302704	0.60521507	0.61917145	0.956465827297692	0.929936757023994	0.0150643082742354	0.0112470744605773	0.000217687538884966	0.66179784	0.65341429	0.66722598	0.62972496	0.58447816	0.67839544	0.61904379	0.56789933	0.66118168	0.9230668	0.9169488	0.9305165	0.9578682	0.9515666	0.9632282
1	0.9	neg	0.16427973	0.16048393	0.16855968	0.55590581	0.54559285	0.56574898	0.930328497	0.929935674	0.015053234	0.014670382	-0.029330793	0.61818768	0.60786758	0.62703644	0.1964839	0.19233185	0.20127265	0.19685526	0.19316035	0.20226496	0.9248071	0.9141575	0.9341978	0.9247149	0.9152605	0.9346497
1	0.9	pos	3.64158455	3.58626229	3.68972968	0.55275456	0.54081912	0.56540894	1.206062332	0.929935674	0.015053234	0.014670382	0.246403043	0.61572108	0.60114018	0.63162457	3.97913117	3.91326048	4.02884293	3.96023553	3.89695182	4.02411378	0.9249698	0.9139842	0.9382258	1.2194852	1.2106646	1.2288436
1	0.9	zero	0.52984833	0.49675583	0.56364759	0.55203123	0.54142808	0.56608823	0.959980115727045	0.929936982560937	0.0150665963938944	0.0146921692963682	0.000284367475846113	0.61462743	0.59992069	0.62928813	0.59469515	0.55505642	0.62859986	0.58074986	0.54521036	0.61185831	0.9277321	0.9171795	0.9402765	0.9710327	0.9582118	0.9815482
10	0	neg	0.580371	0.57200814	0.5894803	0.61560946	0.60543057	0.62371564	0.97899085	0.935036274	0.052159941	0.008210946	-0.016416311	0.63760973	0.62836972	0.64651968	0.60171789	0.5927867	0.61183312	0.60154704	0.59050582	0.61215613	0.9943373	0.9841804	1.0042919	0.9935799	0.9850597	1.0051751
10	0	pos	3.12958536	3.06147125	3.18789332	0.59112029	0.57875651	0.60390113	1.133317823	0.935036274	0.052159941	0.008210946	0.137910662	0.61106053	0.59953308	0.62621541	3.17360006	3.10827971	3.24115306	3.16734441	3.10648746	3.2438229	0.965842	0.9550296	0.9761708	1.1306752	1.1217273	1.1419787
10	0	zero	0.86355267	0.83302147	0.89195154	0.59644205	0.58409092	0.61136454	0.995611140979439	0.935038875970672	0.0521710910258017	0.00824165642052598	0.000159517562438872	0.61660798	0.60000832	0.63176679	0.88950879	0.85952681	0.91830889	0.8819897	0.85637378	0.90526443	0.9769415	0.9640645	0.9901507	0.9943935	0.9815562	1.0053209
10	0.9	neg	0.05045272	0.04927885	0.05173056	0.08774007	0.08632855	0.08931383	0.947048986	0.935036274	0.052159941	0.040174535	-0.080321765	0.1128307	0.11115499	0.11451303	0.06566554	0.06452732	0.06696096	0.0656363	0.06419883	0.06704795	0.9449969	0.9398996	0.9502254	0.9454321	0.9402509	0.9520279
10	0.9	pos	5.56150468	5.46442421	5.64582957	0.0842647	0.08283759	0.08612722	1.702140343	0.935036274	0.052159941	0.040174535	0.674769593	0.10872286	0.1060289	0.1114095	6.40923298	6.31146714	6.49848439	6.40836787	6.30285138	6.5037643	0.9241729	0.9128776	0.9344908	1.6948366	1.681027	1.7105307
10	0.9	zero	0.64544031	0.62956349	0.66079051	0.09060961	0.08881524	0.09253447	1.02811662902914	0.935021097722824	0.0520894895149324	0.0402274382479829	0.000778603543396553	0.1165299	0.11433511	0.11925417	0.75061425	0.7242263	0.76977829	0.74589938	0.71535576	0.76503453	0.9564158	0.9487991	0.9672517	1.0457773	1.0354307	1.0592288
11	0	neg	0.60319037	0.58990442	0.61792223	0.62738794	0.61379051	0.64273352	0.981933701	0.935510935	0.054081283	0.007663727	-0.015322246	0.64544163	0.6269583	0.65961361	0.62104806	0.60604317	0.6372931	0.62201662	0.60427722	0.63308786	0.9795966	0.9661915	0.9921237	0.9795965	0.9667687	0.9941162
11	0	pos	2.85203985	2.78162775	2.93336041	0.63185042	0.62469356	0.63755127	1.125975547	0.935510935	0.054081283	0.007663727	0.128719601	0.65101343	0.64406542	0.65610156	2.88053214	2.80820907	2.96283854	2.88630753	2.81376359	2.95769437	0.9773939	0.9713923	0.9820008	1.1227044	1.1185031	1.127794
11	0	zero	0.87020324	0.83911403	0.90198375	0.62191184	0.61521837	0.63075627	0.997441417848694	0.935511533669291	0.054083413534592	0.0076974855299268	0.000148985114883502	0.64129752	0.63274653	0.64719525	0.88951515	0.85810709	0.92954471	0.88996725	0.85602851	0.92743907	0.9714634	0.9660002	0.9778193	0.9852403	0.9809242	0.9900139
11	0.9	neg	0.0509071	0.04986839	0.05197402	0.08318112	0.08210709	0.08419979	0.949055947	0.935510935	0.054081283	0.040563843	-0.081100115	0.10701248	0.10565789	0.10822391	0.06580232	0.06480435	0.06694738	0.06577348	0.06478865	0.06700926	0.9421911	0.9350505	0.9479107	0.9432622	0.9378458	0.9490576
11	0.9	pos	5.66688711	5.58098287	5.76275884	0.08368835	0.08240389	0.08490628	1.711464444	0.935510935	0.054081283	0.040563843	0.681308383	0.10774906	0.10659962	0.10902744	6.52386172	6.42518174	6.63425775	6.51206253	6.41479072	6.63159018	0.9508261	0.9435405	0.9593803	1.7299243	1.7131318	1.7408189
11	0.9	zero	0.65393362	0.62063764	0.68647278	0.08529074	0.08208041	0.08741058	1.03084571571862	0.935497228037511	0.0540236515206255	0.040540179498705	0.000784656661780017	0.10936798	0.1068334	0.11234171	0.75600774	0.72613283	0.7841493	0.75681238	0.72405851	0.79040187	0.9475744	0.9264175	0.9640808	1.0373763	1.0241211	1.0479139
12	0	neg	0.63241837	0.62268468	0.6456042	0.65173117	0.64044865	0.66598574	0.984512029	0.935969428	0.055689527	0.007151787	-0.014298714	0.67024873	0.65984455	0.68244962	0.64982586	0.63922145	0.66328651	0.64988419	0.64077009	0.6609606	0.9736755	0.9630771	0.9863527	0.974468	0.9639371	0.9862307
12	0	pos	2.81441479	2.70860632	2.93052408	0.67045004	0.65933368	0.68331764	1.118931823	0.935969428	0.055689527	0.007151787	0.12012108	0.68966953	0.67603101	0.69951957	2.85025418	2.71308307	2.93304054	2.84757031	2.72693354	2.95748706	0.9877349	0.9789249	0.9954949	1.129545	1.115661	1.1381949
12	0	zero	0.87289076	0.84682621	0.89208595	0.65750051	0.64529326	0.6699342	0.998988723074371	0.935969986008774	0.0556911710182447	0.00718843365027825	0.000139132397073739	0.67653288	0.66706398	0.68666382	0.89209781	0.85894761	0.91539105	0.88960156	0.86500454	0.9121436	0.9838323	0.9721178	0.9945664	0.9950838	0.9824165	1.007844
