t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 0	0.0	neg	0.83170495	0.81681675	0.84595457	0.37465330	0.36674086	0.38101281	0.37449144	0.36699456	0.38087140	0.9254312	0.9138143	0.9350500	0.9250208	0.9151980	0.9367059
 0	0.0	pos	0.83100938	0.80908468	0.84957754	2.79385950	2.75747774	2.82945146	2.77625511	2.74900521	2.80664850	0.9239419	0.9097354	0.9368030	1.0817595	1.0698794	1.0938122
 0	0.3	neg	0.82915085	0.81545818	0.84333566	0.37507045	0.36749325	0.38204570	0.37446588	0.36788717	0.38098700	0.9239589	0.9151853	0.9335167	0.9246123	0.9127507	0.9347990
 0	0.3	pos	0.82966994	0.80744410	0.85054943	2.79400803	2.76092316	2.82588631	2.77683358	2.74828061	2.80259883	0.9248272	0.9114972	0.9367842	1.0801116	1.0686876	1.0923337
 0	0.6	neg	0.83011504	0.81820467	0.84144206	0.37404986	0.36735293	0.38012468	0.37477891	0.36865429	0.38180166	0.9247480	0.9158869	0.9363566	0.9253355	0.9145872	0.9364790
 0	0.6	pos	0.83001173	0.80625022	0.85618859	2.79455849	2.75841255	2.82427252	2.78049109	2.75269453	2.80455916	0.9241236	0.9110165	0.9340588	1.0818056	1.0671483	1.0938052
 0	0.9	neg	0.83196681	0.81763740	0.84646031	0.37497436	0.36781840	0.38062749	0.37464815	0.36813844	0.38077521	0.9253344	0.9137961	0.9354963	0.9247502	0.9147350	0.9344742
 0	0.9	pos	0.82738969	0.80580605	0.85272246	2.79373727	2.76245965	2.81732168	2.77640628	2.74834093	2.80340608	0.9233933	0.9121093	0.9357766	1.0821450	1.0695730	1.0940041
 1	0.0	neg	0.67258142	0.66518644	0.67979023	0.28418215	0.28093621	0.28658016	0.28369052	0.28051282	0.28707714	0.9354771	0.9284836	0.9421997	0.9357934	0.9286770	0.9426672
 1	0.0	pos	0.67068744	0.66045658	0.68190519	3.45292202	3.38920107	3.52161065	3.44185156	3.35718383	3.51407040	0.9324622	0.9235187	0.9431326	1.1551235	1.1470491	1.1644190
