t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 0	0.0	neg	0.05237099	0.05127128	0.05368937	0.03597314	0.03507839	0.03685841	0.03595334	0.03510674	0.03680995	0.9415004	0.9282941	0.9583279	0.9427203	0.9310698	0.9583382
 0	0.0	pos	0.05129161	0.04994867	0.05259920	7.29603342	7.22490139	7.37450840	7.29467926	7.21747526	7.38068800	0.9299205	0.9131098	0.9450892	2.0660927	2.0503219	2.0817828
 0	0.3	neg	0.05234626	0.05125218	0.05360468	0.03602083	0.03514767	0.03693690	0.03611101	0.03517462	0.03725628	0.9404024	0.9298878	0.9497452	0.9413613	0.9313032	0.9575325
 0	0.3	pos	0.05133640	0.04985332	0.05288904	7.29029456	7.23051918	7.35672853	7.29399400	7.23410175	7.36105831	0.9289948	0.9122941	0.9479941	2.0660147	2.0481025	2.0840282
 0	0.6	neg	0.05242713	0.05118863	0.05400471	0.03602724	0.03516721	0.03709399	0.03609151	0.03529332	0.03720577	0.9413523	0.9293246	0.9547473	0.9416427	0.9288830	0.9528859
 0	0.6	pos	0.05153216	0.04983790	0.05294680	7.29170180	7.21234218	7.35645102	7.29318940	7.23333842	7.34839314	0.9297007	0.9100604	0.9453199	2.0644709	2.0461718	2.0823416
 0	0.9	neg	0.05244559	0.05140672	0.05377473	0.03610571	0.03524028	0.03688230	0.03603688	0.03523283	0.03712559	0.9403691	0.9301412	0.9533290	0.9414872	0.9324463	0.9517894
 0	0.9	pos	0.05135901	0.04993036	0.05244473	7.29825813	7.22495461	7.35300948	7.29154150	7.21769412	7.37078449	0.9297935	0.9120280	0.9450304	2.0645933	2.0497358	2.0806406
 1	0.0	neg	0.14077534	0.13762978	0.14344522	0.11802300	0.11539886	0.12216427	0.11801354	0.11385382	0.12092683	0.9647447	0.9534475	0.9731227	0.9650265	0.9544200	0.9757786
 1	0.0	pos	0.13539378	0.13335797	0.13740517	6.27522681	6.18415301	6.40162457	6.28490738	6.18100911	6.40091358	0.9502031	0.9419520	0.9586639	1.5314090	1.5195666	1.5434351
 1	0.3	neg	0.09650132	0.09448436	0.09833288	0.07559548	0.07380732	0.07729571	0.07572656	0.07440329	0.07741669	0.9625683	0.9519803	0.9731211	0.9612728	0.9501042	0.9719523
 1	0.3	pos	0.09690632	0.09610821	0.09792221	6.58344079	6.50051116	6.65129026	6.57759346	6.50929545	6.63672528	0.9554046	0.9518281	0.9590421	1.6898426	1.6805179	1.6982199
 1	0.6	neg	0.07043987	0.06910069	0.07207910	0.05275233	0.05150026	0.05371431	0.05269696	0.05151203	0.05374557	0.9468625	0.9394214	0.9569780	0.9464747	0.9396504	0.9563463
 1	0.6	pos	0.07161686	0.07055411	0.07257548	6.93975257	6.86372814	7.01438513	6.94348753	6.84600131	7.02037782	0.9456200	0.9355645	0.9531305	1.8531986	1.8444065	1.8647544
 1	0.9	neg	0.05573729	0.05503254	0.05649265	0.03943670	0.03838315	0.04080974	0.03931799	0.03837891	0.04103563	0.9419985	0.9349953	0.9489947	0.9421460	0.9350691	0.9485679
 1	0.9	pos	0.05510609	0.05426059	0.05589377	7.25383154	7.16623612	7.34114446	7.24187041	7.15213567	7.32922251	0.9362101	0.9228993	0.9457470	2.0229003	2.0020038	2.0361089
 2	0.0	neg	0.36227382	0.35845863	0.36704664	0.33788843	0.33345640	0.34308609	0.33802863	0.33262602	0.34365249	0.9832358	0.9760440	0.9908473	0.9834767	0.9760134	0.9903937
 2	0.0	pos	0.34534591	0.33750942	0.35243950	4.76521731	4.67168956	4.86458189	4.76664283	4.68036651	4.86796510	0.9726485	0.9576591	0.9883053	1.2655726	1.2511032	1.2775615
 2	0.3	neg	0.18004255	0.17654306	0.18330794	0.15608113	0.15231531	0.15998957	0.15599410	0.15270748	0.15976757	0.9738278	0.9602540	0.9859210	0.9730227	0.9618286	0.9839666
 2	0.3	pos	0.17600422	0.17191051	0.18002123	5.76602288	5.69146409	5.86143013	5.76905821	5.68379557	5.84853065	0.9500574	0.9391505	0.9617867	1.4175373	1.4045291	1.4290912
 2	0.6	neg	0.09729040	0.09477837	0.09977502	0.07633535	0.07458361	0.07808280	0.07625535	0.07424155	0.07797522	0.9594153	0.9490450	0.9678648	0.9601011	0.9514471	0.9693967
